blue_wins,first_blood,dragons,heralds,towers_destroyed,wards_placed,wards_destroyed,experience,kills,assists,gold,minions,avg_level,elite_monsters,total_jungle_minions_killed
0,1,-1,0,0,-1,0,-477,-4,-2,537,52,0,-1,5
1,0,1,1,0,-24,8,5568,8,4,4079,14,1.2000000000000002,2,31
1,0,0,0,1,74,2,2081,5,7,4006,3,0.6000000000000005,0,3
0,1,-1,-1,0,2,2,-5395,-7,-6,-3582,-46,-1.1999999999999993,-2,-15
1,0,-1,0,0,-3,1,233,0,0,-355,-19,0,-1,8
1,1,0,0,1,-23,10,994,1,2,3464,29,0.1999999999999993,0,24
1,1,1,-1,0,4,1,2183,4,6,2217,-4,0.40000000000000036,0,28
1,1,1,1,0,0,-2,1511,5,7,3049,1,0.20000000000000018,2,5
1,0,1,0,0,-12,0,-474,-1,-3,-305,-1,0,1,4
0,0,1,-1,0,39,0,479,2,5,1325,11,0,0,-1
1,1,-1,0,0,3,-2,87,0,1,-53,18,0,-1,-8
0,0,-1,0,0,19,-3,-1441,-4,-2,-2865,-41,-0.20000000000000018,-1,8
0,1,-1,0,0,-23,1,-561,0,-3,-93,-2,-0.20000000000000018,-1,2
0,1,-1,0,0,4,2,-1185,-1,-3,-420,13,-0.6000000000000005,-1,-4
1,1,1,-1,0,-38,0,2355,4,3,5008,74,0.6000000000000005,0,19
0,1,-1,-1,0,0,-1,-1795,-2,-4,-2074,-8,-0.39999999999999947,-2,-3
1,0,0,1,0,-6,2,1013,1,0,-3,-2,0.20000000000000018,1,15
0,1,-1,-1,0,-6,-1,-660,0,-2,-837,-36,0,-2,0
1,1,1,-1,0,1,-2,-747,0,0,510,13,-0.40000000000000036,0,-16
0,0,1,0,0,2,-1,-2407,-5,-4,-3549,-14,-0.6000000000000005,1,-17
1,0,-1,0,0,-39,2,359,0,-1,272,41,0.40000000000000036,-1,-12
1,1,0,0,0,-27,-1,2189,4,4,2187,24,0.20000000000000018,0,-1
0,0,0,-1,-1,1,-1,-2556,-6,-7,-4907,-20,-0.7999999999999998,-1,-7
1,1,1,0,0,-2,2,648,1,-2,63,28,0.40000000000000036,1,0
1,0,-1,1,0,2,-2,-484,-4,-7,-2132,-8,0,0,21
0,0,-1,1,0,-3,2,-964,-1,-3,-976,-11,-0.5999999999999996,0,2
0,1,-1,0,0,50,-2,-1966,-2,-3,-1342,-32,-0.6000000000000005,-1,8
1,1,1,0,0,2,-2,2532,6,3,2304,21,1,1,-4
1,0,-1,0,0,-68,3,3379,8,10,4219,-1,0.6000000000000005,-1,14
0,1,0,0,0,-24,1,-2340,-1,-2,-2049,-63,-0.40000000000000036,0,-1
0,0,-1,0,0,-4,0,-3823,-4,-2,-4179,-49,-0.7999999999999998,-1,-19
0,0,-1,0,0,-2,2,-1073,0,6,-66,24,0.20000000000000018,-1,-16
1,0,1,1,0,2,2,142,2,9,510,-37,0,2,4
0,1,-1,1,0,0,1,1567,1,1,2591,55,0.40000000000000036,0,18
0,1,-1,0,-1,1,0,-3034,-8,-15,-3772,21,-1,-1,-7
0,1,1,0,0,8,-1,-878,0,4,965,7,-0.20000000000000018,1,-8
0,0,-1,-1,0,-3,-1,-2158,-4,-6,-3468,-36,-0.8000000000000007,-2,-36
1,1,0,0,0,12,1,3916,11,11,6153,16,1,0,9
0,0,-1,0,0,-41,-2,-2730,-5,-8,-2216,4,-0.5999999999999996,-1,0
0,0,1,0,0,-2,-2,-1767,-5,-10,-2308,-15,-0.6000000000000005,1,11
1,1,-1,1,0,3,2,-179,0,2,1917,16,-0.40000000000000036,0,3
0,0,-1,0,0,1,0,-1759,-3,-2,-1676,24,-0.40000000000000036,-1,-32
1,1,1,0,0,5,1,1259,5,1,2709,28,0.40000000000000036,1,-12
0,0,-1,0,0,-23,-1,-552,-2,-7,-1304,6,-0.20000000000000018,-1,-10
1,1,1,0,0,28,3,1409,3,5,1824,7,0.20000000000000018,1,-1
0,0,-1,-1,0,0,2,-45,3,6,229,-38,-0.20000000000000018,-2,-6
1,0,0,1,0,-14,0,1667,0,3,1507,38,0.20000000000000018,1,1
0,0,1,0,0,-5,0,-1135,-4,-1,-1787,-4,0,1,4
0,0,0,0,0,-1,0,1397,1,-1,815,52,0.40000000000000036,0,-3
0,0,1,0,0,-2,1,-5061,-9,-3,-4767,-71,-1.2000000000000002,1,4
0,0,-1,0,0,-2,-1,-2532,-2,-4,-1861,-41,-0.40000000000000036,-1,-21
0,0,1,0,-1,53,-4,-4485,-13,-17,-7655,-60,-1.2000000000000002,1,24
1,0,0,0,0,8,-5,-2051,-5,-8,-2058,-12,-0.40000000000000036,0,2
1,0,1,0,0,-2,2,-208,0,4,-575,-12,-0.20000000000000018,1,-12
